Year,ResidualCapacity
,
2015,16.765
2016,16.801
2017,16.836
2018,16.872
2019,16.91
2020,16.949
2021,16.986
2022,17.025
2023,17.064
2024,17.105
2025,17.147
2026,17.188
2027,17.229
2028,17.272
2029,17.316
2030,17.361
2031,17.408
2032,17.457
2033,17.508
2034,17.561
2035,17.616
2036,17.673
2037,17.733
2038,17.795
2039,17.86
2040,17.928
2041,18
2042,18.074
2043,18.152
2044,18.234
2045,18.32
2046,18.41
2047,18.505
2048,18.605
2049,18.71
2050,18.821
