Year,Technology,VariableCost
2045,Coffee Exports,-6183.2
2046,Coffee Exports,-6240.6
2047,Coffee Exports,-6298.1
2048,Coffee Exports,-6355.5
2049,Coffee Exports,-6413
2050,Coffee Exports,-6470.4
,Banana Exports,
2015,Banana Exports,-420
2016,Banana Exports,-416.4
2017,Banana Exports,-412.8
2018,Banana Exports,-409.2
2019,Banana Exports,-405.6
2020,Banana Exports,-402
2021,Banana Exports,-398.4
2022,Banana Exports,-394.8
2023,Banana Exports,-391.2
2024,Banana Exports,-387.6
2025,Banana Exports,-384
2026,Banana Exports,-380.4
2027,Banana Exports,-376.8
2028,Banana Exports,-373.2
2029,Banana Exports,-369.6
2030,Banana Exports,-366
2031,Banana Exports,-362.4
2032,Banana Exports,-358.8
2033,Banana Exports,-355.2
2034,Banana Exports,-351.6
2035,Banana Exports,-348
2036,Banana Exports,-344.4
2037,Banana Exports,-340.8
2038,Banana Exports,-337.2
2039,Banana Exports,-333.6
2040,Banana Exports,-330
2041,Banana Exports,-326.4
2042,Banana Exports,-322.8
2043,Banana Exports,-319.2
2044,Banana Exports,-315.6
2045,Banana Exports,-312
2046,Banana Exports,-308.4
2047,Banana Exports,-304.8
2048,Banana Exports,-301.2
2049,Banana Exports,-297.6
2050,Banana Exports,-294
