Year,ResidualCapacity
2015,0.07
2016,0.0672
2017,0.0644
2018,0.0616
2019,0.0588
2020,0.056
2021,0.0532
2022,0.0504
2023,0.0476
2024,0.0448
2025,0.042
2026,0.0392
2027,0.0364
2028,0.0336
2029,0.0308
2030,0.028
2031,0.0252
2032,0.0224
2033,0.0196
2034,0.0168
2035,0.014
2036,0.0112
2037,0.0084
2038,0.0056
2039,0.0028
2050,0
2049,0
2048,0
2047,0
2046,0
2045,0
2044,0
2043,0
2042,0
2041,0
2040,0
,
