Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
0,,,CRADEMAGROP,,,,2035,,,,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,,,,,,,,,,,,,0.00012635,4.762e-05,,,0.00012635,4.64723e-05,0.00012635,,9.40923e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2036,,,,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,,,,,,,,,,,,,0.00012667,4.54672e-05,,,0.00012667,4.43715e-05,0.00012667,,8.98387e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2037,,,,1.2703,1.2703,1.2703,1.2703,1.2703,1.2703,1.2703,,,,,,,,,,,,,0.00012703,4.34252e-05,,,0.00012703,4.23786e-05,0.00012703,,8.58038e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2038,,,,1.2648,1.2648,1.2648,1.2648,1.2648,1.2648,1.2648,,,,,,,,,,,,,0.00012648,4.11783e-05,,,0.00012648,4.01859e-05,0.00012648,,8.13641e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2039,,,,1.2682,1.2682,1.2682,1.2682,1.2682,1.2682,1.2682,,,,,,,,,,,,,0.00012682,3.93228e-05,,,0.00012682,3.83751e-05,0.00012682,,7.76979e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2040,,,,1.2664,1.2664,1.2664,1.2664,1.2664,1.2664,1.2664,,,,,,,,,,,,,0.00012664,3.73971e-05,,,0.00012664,3.64959e-05,0.00012664,,7.3893e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2041,,,,1.2694,1.2694,1.2694,1.2694,1.2694,1.2694,1.2694,,,,,,,,,,,,,0.00012694,3.57007e-05,,,0.00012694,3.48403e-05,0.00012694,,7.0541e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2042,,,,1.2701,1.2701,1.2701,1.2701,1.2701,1.2701,1.2701,,,,,,,,,,,,,0.00012701,3.40194e-05,,,0.00012701,3.31996e-05,0.00012701,,6.7219e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2043,,,,1.2666,1.2666,1.2666,1.2666,1.2666,1.2666,1.2666,,,,,,,,,,,,,0.00012666,3.23102e-05,,,0.00012666,3.15315e-05,0.00012666,,6.38416e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2044,,,,1.2694,1.2694,1.2694,1.2694,1.2694,1.2694,1.2694,,,,,,,,,,,,,0.00012694,3.08396e-05,,,0.00012694,3.00964e-05,0.00012694,,6.0936e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2045,,,,1.2666,1.2666,1.2666,1.2666,1.2666,1.2666,1.2666,,,,,,,,,,,,,0.00012666,2.93063e-05,,,0.00012666,2.86e-05,0.00012666,,5.79063e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2046,,,,1.269,1.269,1.269,1.269,1.269,1.269,1.269,,,,,,,,,,,,,0.0001269,2.79636e-05,,,0.0001269,2.72897e-05,0.0001269,,5.52533e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2047,,,,1.2691,1.2691,1.2691,1.2691,1.2691,1.2691,1.2691,,,,,,,,,,,,,0.00012691,2.66341e-05,,,0.00012691,2.59922e-05,0.00012691,,5.26264e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2048,,,,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646,1.2646,,,,,,,,,,,,,0.00012646,2.52759e-05,,,0.00012646,2.46667e-05,0.00012646,,4.99427e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2049,,,,1.267,1.267,1.267,1.267,1.267,1.267,1.267,,,,,,,,,,,,,0.0001267,2.4118e-05,,,0.0001267,2.35367e-05,0.0001267,,4.76547e-05,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2050,,,,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,1.2639,,,,,,,,,,,,,0.00012639,2.29133e-05,,,0.00012639,2.23611e-05,0.00012639,,4.52743e-05,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2015,,,,0.2948,0.2948,0.2948,0.2948,0.2948,0.2948,0.2948,,,,,,,,,,,,,2.948e-05,2.948e-05,,,0.0005896,0.000575391,0.0005896,,0.000604871,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2016,,,,0.2983,0.2983,0.2983,0.2983,0.2983,0.2983,0.2983,,,,,,,,,,,,,2.983e-05,2.84095e-05,,,0.0005966,0.000554497,0.0005966,,0.000582907,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2017,,,,0.3017,0.3017,0.3017,0.3017,0.3017,0.3017,0.3017,,,,,,,,,,,,,3.017e-05,2.73651e-05,,,0.0006034,0.000534112,0.0006034,,0.000561477,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2018,,,,0.3052,0.3052,0.3052,0.3052,0.3052,0.3052,0.3052,,,,,,,,,,,,,3.052e-05,2.63643e-05,,,0.0006104,0.000514579,0.0006104,,0.000540943,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2019,,,,0.3085,0.3085,0.3085,0.3085,0.3085,0.3085,0.3085,,,,,,,,,,,,,3.085e-05,2.53804e-05,,,0.000617,0.000495374,0.000617,,0.000520755,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2020,,,,0.3117,0.3117,0.3117,0.3117,0.3117,0.3117,0.3117,,,,,,,,,,,,,3.117e-05,2.44225e-05,,,0.0006234,0.000476679,0.0006234,,0.000501101,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2021,,,,0.3149,0.3149,0.3149,0.3149,0.3149,0.3149,0.3149,,,,,,,,,,,,,3.149e-05,2.34983e-05,,,0.0006298,0.00045864,0.0006298,,0.000482139,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2022,,,,0.318,0.318,0.318,0.318,0.318,0.318,0.318,,,,,,,,,,,,,3.18e-05,2.25997e-05,,,0.000636,0.0004411,0.000636,,0.0004637,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2023,,,,0.3209,0.3209,0.3209,0.3209,0.3209,0.3209,0.3209,,,,,,,,,,,,,3.209e-05,2.17198e-05,,,0.0006418,0.000423927,0.0006418,,0.000445646,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2024,,,,0.3239,0.3239,0.3239,0.3239,0.3239,0.3239,0.3239,,,,,,,,,,,,,3.239e-05,2.08789e-05,,,0.0006478,0.000407514,0.0006478,,0.000428393,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2025,,,,0.3267,0.3267,0.3267,0.3267,0.3267,0.3267,0.3267,,,,,,,,,,,,,3.267e-05,2.00565e-05,,,0.0006534,0.000391464,0.0006534,,0.00041152,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2026,,,,0.3295,0.3295,0.3295,0.3295,0.3295,0.3295,0.3295,,,,,,,,,,,,,3.295e-05,1.92652e-05,,,0.000659,0.000376018,0.000659,,0.000395283,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2027,,,,0.332,0.332,0.332,0.332,0.332,0.332,0.332,,,,,,,,,,,,,3.32e-05,1.8487e-05,,,0.000664,0.000360829,0.000664,,0.000379316,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2028,,,,0.3345,0.3345,0.3345,0.3345,0.3345,0.3345,0.3345,,,,,,,,,,,,,3.345e-05,1.77392e-05,,,0.000669,0.000346235,0.000669,,0.000363974,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2029,,,,0.3371,0.3371,0.3371,0.3371,0.3371,0.3371,0.3371,,,,,,,,,,,,,3.371e-05,1.70258e-05,,,0.0006742,0.00033231,0.0006742,,0.000349336,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2030,,,,0.3393,0.3393,0.3393,0.3393,0.3393,0.3393,0.3393,,,,,,,,,,,,,3.393e-05,1.63209e-05,,,0.0006786,0.000318552,0.0006786,,0.000334872,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2031,,,,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,0.3417,,,,,,,,,,,,,3.417e-05,1.56537e-05,,,0.0006834,0.000305528,0.0006834,,0.000321182,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2032,,,,0.3439,0.3439,0.3439,0.3439,0.3439,0.3439,0.3439,,,,,,,,,,,,,3.439e-05,1.50042e-05,,,0.0006878,0.000292853,0.0006878,,0.000307857,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2033,,,,0.346,0.346,0.346,0.346,0.346,0.346,0.346,,,,,,,,,,,,,3.46e-05,1.4377e-05,,,0.000692,0.000280611,0.000692,,0.000294988,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2034,,,,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,0.3481,,,,,,,,,,,,,3.481e-05,1.37755e-05,,,0.0006962,0.00026887,0.0006962,,0.000282646,,,,,,,,,,,,
0,,,CRADEMCOHUMANO,,,,2035,,,,0.3503,0.3503,0.3503,0.3503,0.3503,0.3503,0.3503,,,,,,,,,,,,,3.503e-05,1.32024e-05,,,0.0007006,0.000257685,0.0007006,,0.000270888,,,,,,,,,,,,
